Date,close_price,high_price,low_price,open_price,trading_volume,daily_range,vwap_proxy
2021-07-15,144.73114013671875,146.21276700697837,143.37623575739534,145.47196100861444,106820300,2.8365312495830324,144.77338096703082
2021-07-16,142.69395446777344,145.9788641734468,142.196836268165,144.71169838540143,93251400,3.782027905281808,143.6232183031284
2021-07-19,138.8534393310547,140.43254791143656,138.09313385194156,140.1206200874223,121434600,2.339414059494999,139.12637369814425
2021-07-20,142.4600067138672,143.38603306380864,139.35056015600642,139.83793618290784,96350000,4.035472907802216,141.73219997789408
2021-07-21,141.72891235351562,142.44049190950972,140.97836414159778,141.8556348529318,74993500,1.4621277679119373,141.71592280154104
2021-07-22,143.09356689453125,144.45821346206498,142.1285572602189,142.25527975346566,77338200,2.3296562018460634,143.22677920560503
2021-07-23,144.8091278076172,144.96509166825837,143.210535419876,143.82463382519293,71447400,1.7545562483823574,144.3282516319172
2021-07-26,145.22830200195312,146.04709009069717,143.97086362595675,144.5264793905911,72434100,2.076226464740415,145.08208523953567
2021-07-27,143.06430053710938,145.44269688804633,141.8751023616409,145.3549579376863,104818600,3.567594526405429,143.4606999289322
2021-07-28,141.31951904296875,143.25928057886588,138.94112214929507,141.15381301329907,118931200,4.318158429570815,141.17330725704323
2021-07-29,141.96287536621094,142.84990322262558,140.92964066468824,141.03686397561236,56699500,1.920262557937349,141.91413975117493
2021-07-30,142.17733764648438,142.63547230965827,140.47152152252852,140.73470874624329,70440600,2.1639507871297496,141.7614438262237
2021-08-02,141.84588623046875,143.23977416644965,141.5826990796388,142.66467417357077,62880000,1.6570750868108632,142.22278649218572
2021-08-03,143.63946533203125,144.30228959895825,141.51449808960257,142.12859665195967,64786600,2.787791509355685,143.15208434019735
2021-08-04,143.23977661132812,144.05856456840556,142.5866946784069,143.55170433223327,56368300,1.4718698899986578,143.2950119527135
2021-08-05,143.34701538085938,144.107320690727,142.47948676454712,143.26903344221475,46397700,1.6278339261798749,143.31127427871115
2021-08-06,142.6636962890625,143.6106236198985,142.16583326910765,142.8687074712915,54126800,1.4447903507908393,142.81338439268953
